date,LEVEL,RAIN
1-Mar-00,284,19.9
2-Mar-00,261,39.5
3-Mar-00,253,61.9
4-Mar-00,266,106.3
5-Mar-00,264,13.3
6-Mar-00,247,18.2
7-Mar-00,247,62
8-Mar-00,244,25.6
9-Mar-00,235,18.2
10-Mar-00,236,47.1
11-Mar-00,232,18.1
12-Mar-00,225,83.5
13-Mar-00,230,15.7
14-Mar-00,224,41.3
15-Mar-00,225,7.2
16-Mar-00,221,0.4
17-Mar-00,214,5.8
18-Mar-00,212,50.6
19-Mar-00,216,76.7
20-Mar-00,238,21.1
21-Mar-00,235,3.7
22-Mar-00,216,12.4
23-Mar-00,220,112.5
24-Mar-00,238,195.6
25-Mar-00,339,62.5
26-Mar-00,295,15.8
27-Mar-00,254,213
28-Mar-00,319,1.6
29-Mar-00,262,14.4
30-Mar-00,255,20
31-Mar-00,258,8.6
1-Apr-00,239,2.3
2-Apr-00,228,0
3-Apr-00,221,11
4-Apr-00,221,91.3
5-Apr-00,243,134.9
6-Apr-00,247,37.3
7-Apr-00,245,28.6
8-Apr-00,252,15.5
9-Apr-00,246,5.4
10-Apr-00,227,9
11-Apr-00,225,34.8
12-Apr-00,235,103.9
13-Apr-00,276,54.5
14-Apr-00,272,25.2
15-Apr-00,264,94.3
16-Apr-00,271,20.3
17-Apr-00,288,98
18-Apr-00,276,91.3
19-Apr-00,291,11
20-Apr-00,263,1.7
21-Apr-00,240,6.7
22-Apr-00,236,18.4
23-Apr-00,260,27.6
24-Apr-00,259,15.1
25-Apr-00,252,3.7
26-Apr-00,237,18
27-Apr-00,242,15.9
28-Apr-00,233,61.4
29-Apr-00,255,27.4
30-Apr-00,266,7.2
1-May-00,243,71.6
2-May-00,242,17.6
3-May-00,237,45.3
4-May-00,276,47.7
5-May-00,288,28.3
6-May-00,277,29.6
7-May-00,270,45.2
8-May-00,289,13.4
9-May-00,266,31.5
10-May-00,267,17.5
11-May-00,266,10.6
12-May-00,259,25.1
13-May-00,276,28.7
14-May-00,278,35
15-May-00,270,8.5
16-May-00,250,24.7
17-May-00,253,216.9
18-May-00,339,74.2
19-May-00,340,27.6
20-May-00,288,275.1
21-May-00,372,31.2
22-May-00,314,64.3
23-May-00,348,81.2
24-May-00,333,18.3
25-May-00,305,31.9
26-May-00,314,24.8
27-May-00,300,70.8
28-May-00,315,32.5
29-May-00,310,19.6
30-May-00,299,44.6
31-May-00,286,33.9
1-Jun-00,281,28.9
2-Jun-00,276,22
3-Jun-00,254,4.2
4-Jun-00,245,46.3
5-Jun-00,259,3
6-Jun-00,241,27.6
7-Jun-00,249,10.4
8-Jun-00,245,9.5
9-Jun-00,245,7.8
10-Jun-00,242,19.4
11-Jun-00,235,18.7
12-Jun-00,233,44.8
13-Jun-00,239,1.9
14-Jun-00,227,44.9
15-Jun-00,224,95.4
16-Jun-00,254,78.9
17-Jun-00,314,21
18-Jun-00,289,16.3
19-Jun-00,259,17.4
20-Jun-00,237,56.5
21-Jun-00,253,27.6
22-Jun-00,262,37.3
23-Jun-00,308,69.4
24-Jun-00,289,244.1
25-Jun-00,318,11.7
26-Jun-00,269,34.3
27-Jun-00,276,31.4
28-Jun-00,266,5.3
29-Jun-00,247,3.9
30-Jun-00,239,17.8
1-Jul-00,236,1
2-Jul-00,227,12.9
3-Jul-00,226,7.5
4-Jul-00,237,18.9
5-Jul-00,257,10.8
6-Jul-00,283,10.3
